"cargo","ciudad","link","empresa","fpublicacion"
"Analista Contable","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-adecco-recursos-humanos-1002582568.html","Adecco Recursos Humanos","10 de agosto de 2015"
"Vendedor en Terreno Puerto Varas","Puerto Varas, Región X","http://www.bumeran.cl/empleos/vendedor-en-terreno-puerto-varas-ecr-group-1002586610.html","ECR group","21 de agosto de 2015"
"Vendedor en Terreno Puerto Varas","Puerto Varas, Región X","http://www.bumeran.cl/empleos/vendedor-en-terreno-puerto-varas-ecr-group-1002582128.html","ECR group","17 de agosto de 2015"
"Supervisor Call Center","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/supervisor-call-center-optus-chile-sa-1002586861.html","OPTUS CHILE SA","25 de agosto de 2015"
"Supervisor Call Center","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/supervisor-call-center-optus-chile-sa-1002586911.html","OPTUS CHILE SA","26 de agosto de 2015"
"Analista Contable Junior","Quilicura, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-junior-adecco-recursos-humanos-1002586694.html","Adecco Recursos Humanos","31 de agosto de 2015"
"Supervisor Contable","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/supervisor-contable-1002586035.html","","10 de agosto de 2015"
"Operadores Logisticos Cerrillos","Cerrillos , Región Metropolitana","http://www.bumeran.cl/empleos/operadores-logisticos-cerrillos-randstad-1002586466.html","Randstad","19 de agosto de 2015"
"Supervisor Call Center","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/supervisor-call-center-optus-chile-sa-1002585994.html","OPTUS CHILE SA","10 de agosto de 2015"
"Jefe/a de tienda","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/jefe-a-de-tienda-1002421300.html","","19 de agosto de 2015"
"Casting Promotores (Full-Time Importante Marca Lider en Area Computacional )","Macul, Región Metropolitana","http://www.bumeran.cl/empleos/casting-promotores-full-time-importante-marca-lider-en-area-computacional-alcansa-s.a.-1002586450.html","Alcansa S.A.","18 de agosto de 2015"
"Secretaria Contable","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/secretaria-contable-altiuz-1002585829.html","ALTIUZ","05 de agosto de 2015"
"Asistente Contable","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/asistente-contable-seek-consultores-ltda-1002123215.html","Seek Consultores Ltda","31 de agosto de 2015"
"Analista Contable","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-adecco-recursos-humanos-1002571040.html","Adecco Recursos Humanos","27 de agosto de 2015"
"Analista Contable","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-1002585865.html","","06 de agosto de 2015"
"Analista Contable (Contador Auditor)","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-contador-auditor-page-personnel-1002541793.html","Page Personnel","03 de agosto de 2015"
"Analista de Cuentas por Cobrar e Inventario, Santiago","Quilicura, Región Metropolitana","http://www.bumeran.cl/empleos/analista-de-cuentas-por-cobrar-e-inventario-santiago-5s-consultores-1002586176.html","5s consultores","11 de agosto de 2015"
"Vendedor integral La Florida","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/vendedor-integral-la-florida-1001657711.html","","19 de agosto de 2015"
"Analista de Conciliación Bancaria","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/analista-de-conciliacion-bancaria-seek-consultores-ltda-1002242871.html","Seek Consultores Ltda","31 de agosto de 2015"
"Coordinador de Mesa de Ayuda","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/coordinador-de-mesa-de-ayuda-everis-1002582466.html","Everis","12 de agosto de 2015"
"Analista Contable $850.000 , Renca","Renca, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-$850.000-renca-1002584819.html","","18 de agosto de 2015"
"Vendedor/a para exclusiva marca de moda internacional","Providencia, Región Metropolitana","http://www.bumeran.cl/empleos/vendedor-a-para-exclusiva-marca-de-moda-internacional-randstad-1002585217.html","Randstad","19 de agosto de 2015"
"Analista contable activo fijo","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/analista-contable-activo-fijo-1001615318.html","","26 de agosto de 2015"
"Ejecutivo de ventas a través de chat","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/ejecutivo-de-ventas-a-traves-de-chat-optus-chile-sa-1002586976.html","OPTUS CHILE SA","27 de agosto de 2015"
"Buscamos los Mejores Vendedores, para Punta Arenas.","Punta Arenas, Región XII","http://www.bumeran.cl/empleos/buscamos-los-mejores-vendedores-para-punta-arenas.-ecr-group-1002584481.html","ECR group","03 de agosto de 2015"
"Importante Marca de Electrónica y Cuidado Personal necesita promotores $12.000+ comisión!","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/importante-marca-de-electronica-y-cuidado-personal-necesita-promotores-$12.000-comision!-ecr-group-1002586088.html","ECR group","11 de agosto de 2015"
"Importante Marca de Electrónica y Cuidado Personal necesita promotores $250.000+ comisión!","Santiago, Región Metropolitana","http://www.bumeran.cl/empleos/importante-marca-de-electronica-y-cuidado-personal-necesita-promotores-$250.000-comision!-ecr-group-1002586084.html","ECR group","11 de agosto de 2015"
"Urgente!! Promotores Full-Time, Area Computacion .","Providencia, Región Metropolitana","http://www.bumeran.cl/empleos/urgente!!-promotores-full-time-area-computacion-.-alcansa-s.a.-1002586074.html","Alcansa S.A.","11 de agosto de 2015"
"Secretaria Contable/Las Condes","Las Condes, Región Metropolitana","http://www.bumeran.cl/empleos/secretaria-contable-las-condes-1002581546.html","","31 de agosto de 2015"
"Coquimbo. Supervisor de ventas en terreno (telefonía - tv digital- internet)","Coquimbo, Región IV","http://www.bumeran.cl/empleos/coquimbo.-supervisor-de-ventas-en-terreno-telefonia-tv-digital-internet-ecr-group-1002584502.html","ECR group","03 de agosto de 2015"
"Analista de Tesorería- Huechuraba","Conchalí, Región Metropolitana","http://www.bumeran.cl/empleos/analista-de-tesoreria-huechuraba-adecco-recursos-humanos-1002586061.html","Adecco Recursos Humanos","12 de agosto de 2015"
