"cargo","ciudad","link","empresa","fpublicacion"
"Practica Contador General","Huechuraba","http://www.trabajando.cl/empleos/ofertas/2656815/Practica_Contador_General.html","Finning Chile","10-08-2015"
"Practicante Administrativo","Renca","http://www.trabajando.cl/empleos/ofertas/2643572/Practicante_Administrativo.html","Sodimac S.A.","28-08-2015"
"Service Desk Funcional y Técnico en SQL","Pudahuel","http://www.trabajando.cl/empleos/ofertas/2687221/Service_Desk_Funcional_y_Tecnico_en_SQL.html","Randstad Chile S.A.","31-08-2015"
"Soporte Tecnico Terreno","Santiago - Oriente","http://www.trabajando.cl/empleos/ofertas/2686953/Soporte_Tecnico_Terreno.html","IT PEOPLE","31-08-2015"
"Supervisor de Impresión para Importante Empresa en Quilicura","Quilicura","http://www.trabajando.cl/empleos/ofertas/2693083/Supervisor_de_Impresion_para_Importante_Empresa_en_Quilicura.html","Exprochile S.A","31-08-2015"
"Part-time Fin de Semanas Zofri Iquique","ZOFRI","http://www.trabajando.cl/empleos/ofertas/2657638/Part_time_Fin_de_Semanas_Zofri_Iquique.html","Importante Empresa Retail","31-08-2015"
"Captador de Tarjeta Lider Servicios Financieros 45 Hrs  IQUIQUE","IQUIQUE","http://www.trabajando.cl/empleos/ofertas/2666795/Captador_de_Tarjeta_Lider_Servicios_Financieros_45_Hrs_IQUIQUE.html","Walmart Chile","29-08-2015"
"Control de Calidad Procesos Productivos","Quilicura","http://www.trabajando.cl/empleos/ofertas/2693474/Control_de_Calidad_Procesos_Productivos.html","Exprochile S.A","31-08-2015"
"INGENIERO CIVIL  MECANICO JUNIOR, Ppta. Serv. Ingen.  Proyectos y Asesorías ENAP Magallanes","Magallanes","http://www.trabajando.cl/empleos/ofertas/2691768/INGENIERO_CIVIL_MECANICO_JUNIOR_Ppta_Serv_Ingen_Proyectos_y_Asesorias_ENAP_Magallanes.html","SIGA Ingenieria y Consultores S.A","31-08-2015"
"Profesor Matemáticas Educación Media","La Florida","http://www.trabajando.cl/empleos/ofertas/2693378/Profesor_Matematicas_Educacion_Media.html","Organización Educacional","31-08-2015"
"Líder de Procesos Auditoría","Las Condes","http://www.trabajando.cl/empleos/ofertas/2693330/Lider_de_Procesos_Auditoria.html","KPMG","31-08-2015"
"Ingeniero Civil /Ingeniero Constructor civil","a mencionar","http://www.trabajando.cl/empleos/ofertas/2639041/Ingeniero_Civil_Ingeniero_Constructor_civil.html","Ingelog S.A.","31-08-2015"
"Recepcionista. La Dehesa","La Dehesa","http://www.trabajando.cl/empleos/ofertas/2691845/Recepcionista_La_Dehesa.html","CONTENIDO RESERVADO","31-08-2015"
"Ingeniero de Preventa Servidores, Respaldo y Networking","Providencia","http://www.trabajando.cl/empleos/ofertas/2691132/Ingeniero_de_Preventa_Servidores_Respaldo_y_Networking.html","Importante Empresa de Informática","31-08-2015"
"Ingeniero Informatico DBA SYBASE y/o DB2","Santiago Centro","http://www.trabajando.cl/empleos/ofertas/2685779/Ingeniero_Informatico_DBA_SYBASE_y_o_DB2.html","DBSYS LIMITADA","31-08-2015"
"Asistente de Comercio Exterior","Lo Espejo","http://www.trabajando.cl/empleos/ofertas/2667173/Asistente_de_Comercio_Exterior.html","Importante empresa proveedora de la Minería","31-08-2015"
"Jefe de Turno para Sexta Región","Rengo","http://www.trabajando.cl/empleos/ofertas/2652712/Jefe_de_Turno_para_Sexta_Region.html","Importante empresa de Industrial","31-08-2015"
"Consultor Funcional People Soft","Providencia","http://www.trabajando.cl/empleos/ofertas/2691666/Consultor_Funcional_People_Soft.html","Asesorías y Servicios Valor Único Ltda.","31-08-2015"
